AAA1A01,2026-06-01T08:00:00,2026-06-01T10:00:00,123.456.789-01,10.0,0.0,10.0
AAA1A02,2026-06-01T09:30:00,2026-06-01T12:30:00,234.567.890-12,10.0,0.0,10.0
AAA1A03,2026-06-02T07:45:00,2026-06-02T09:45:00,345.678.901-23,10.0,0.0,10.0
AAA1A04,2026-06-02T10:00:00,2026-06-02T13:00:00,456.789.012-34,10.0,0.0,10.0
AAA1A05,2026-06-03T08:30:00,2026-06-03T11:00:00,567.890.123-45,10.0,0.0,10.0
AAA1A06,2026-06-03T13:00:00,2026-06-03T15:30:00,678.901.234-56,10.0,0.0,10.0
AAA1A07,2026-06-04T07:00:00,2026-06-04T09:00:00,789.012.345-67,10.0,0.0,10.0
AAA1A08,2026-06-04T14:00:00,2026-06-04T17:00:00,890.123.456-78,10.0,0.0,10.0
AAA1A09,2026-06-05T08:00:00,2026-06-05T10:30:00,901.234.567-89,10.0,0.0,10.0
AAA1A10,2026-06-05T09:30:00,2026-06-05T12:00:00,012.345.678-90,10.0,0.0,10.0
AAB1A01,2026-06-06T08:00:00,2026-06-06T10:00:00,111.222.333-44,10.0,0.0,10.0
AAB1A02,2026-06-06T11:00:00,2026-06-06T13:30:00,222.333.444-55,10.0,0.0,10.0
AAB1A03,2026-06-07T07:30:00,2026-06-07T10:00:00,333.444.555-66,10.0,0.0,10.0
AAB1A04,2026-06-07T13:00:00,2026-06-07T15:30:00,444.555.666-77,10.0,0.0,10.0
AAB1A05,2026-06-09T08:00:00,2026-06-09T09:30:00,555.666.777-88,10.0,0.0,10.0
AAB1A06,2026-06-10T10:00:00,2026-06-10T12:00:00,666.777.888-99,10.0,0.0,10.0
AAB1A07,2026-06-11T09:00:00,2026-06-11T11:00:00,777.888.999-00,10.0,0.0,10.0
AAB1A08,2026-06-12T14:00:00,2026-06-12T17:00:00,888.999.000-11,10.0,0.0,10.0
AAB1A09,2026-06-13T20:00:00,2026-06-14T07:00:00,999.000.111-22,20.0,0.0,20.0
AAB1A10,2026-06-14T19:30:00,2026-06-15T08:00:00,000.111.222-33,20.0,0.0,20.0
AAC1A01,2026-06-01T07:30:00,2026-06-01T18:00:00,100.200.300-40,0.0,0.0,0.0
AAC1A02,2026-06-01T08:00:00,2026-06-01T17:30:00,200.300.400-50,0.0,0.0,0.0
AAC1A03,2026-06-02T07:45:00,2026-06-02T17:45:00,300.400.500-60,0.0,0.0,0.0
AAC1A04,2026-06-02T08:00:00,2026-06-02T18:00:00,400.500.600-70,0.0,0.0,0.0
AAC1A05,2026-06-03T07:30:00,2026-06-03T17:30:00,500.600.700-80,0.0,0.0,0.0
AAC1A06,2026-06-03T08:00:00,2026-06-03T18:00:00,600.700.800-90,0.0,0.0,0.0
AAC1A07,2026-06-04T07:45:00,2026-06-04T17:45:00,700.800.900-01,0.0,0.0,0.0
AAC1A08,2026-06-04T08:30:00,2026-06-04T18:00:00,800.900.001-12,0.0,0.0,0.0
AAC1A09,2026-06-05T07:00:00,2026-06-05T17:00:00,900.001.002-23,0.0,0.0,0.0
AAC1A10,2026-06-05T08:00:00,2026-06-05T18:00:00,001.002.003-34,0.0,0.0,0.0
AAD1A01,2026-06-06T07:30:00,2026-06-06T17:30:00,002.003.004-45,0.0,0.0,0.0
AAD1A02,2026-06-07T08:00:00,2026-06-07T18:00:00,003.004.005-56,0.0,0.0,0.0
AAD1A03,2026-06-09T07:45:00,2026-06-09T17:45:00,004.005.006-67,0.0,0.0,0.0
